"","taxa","q","Parameter","Eta2_partial","CI","CI_low","CI_high"
"93","CHIR",4,"hydropeaking",0.99325737645047,0.95,0.993866582652769,1
"94","CHIR",4,"HFE",0.999606099264815,0.95,0.999641895599142,1
"95","CHIR",4,"temperature:temp_spike",0.99402491051287,0.95,0.994565148309409,1
"96","CHIR",4,"temperature:hydropeaking",0.926448647958269,0.95,0.925377664816073,1
"97","CHIR",4,"temperature:HFE",0.98950148020289,0.95,0.990446773390019,1
"98","CHIR",4,"temp_spike:hydropeaking",0.762014085771867,0.95,0.758644104548327,1
"99","CHIR",4,"temp_spike:HFE",0.952779967040199,0.95,0.952091497232092,1
"100","CHIR",4,"hydropeaking:HFE",0.98081357818255,0.95,0.980533550865323,1
"101","CHIR",4,"temperature:temp_spike:hydropeaking",0.986977692243075,0.95,0.986786767307216,1
"102","CHIR",4,"temperature:temp_spike:HFE",0.941991336142981,0.95,0.94114581849445,1
"103","CHIR",4,"temperature:hydropeaking:HFE",0.741907642614107,0.95,0.73826769501241,1
"104","CHIR",4,"temp_spike:hydropeaking:HFE",0.0235968044603696,0.95,0.0206447679169358,1
"105","CHIR",4,"temperature:temp_spike:hydropeaking:HFE",0.115798174016685,0.95,0.109882963654492,1
"106","CHIR",8,"temperature",0.998216177047994,0.95,0.998378079751034,1
"107","CHIR",8,"temp_spike",0.998984967484054,0.95,0.999077158011447,1
"108","CHIR",8,"hydropeaking",0.993125921425689,0.95,0.993746930014771,1
"109","CHIR",8,"HFE",0.999330514849055,0.95,0.999391340091071,1
"110","CHIR",8,"temperature:temp_spike",0.989356273023753,0.95,0.989186198329065,1
"111","CHIR",8,"temperature:hydropeaking",0.520484560093631,0.95,0.514349551126231,1
"112","CHIR",8,"temperature:HFE",0.984808097494109,0.95,0.984586293989696,1
"113","CHIR",8,"temp_spike:hydropeaking",0.674885796309208,0.95,0.670407129923491,1
"114","CHIR",8,"temp_spike:HFE",0.00578404836512801,0.95,0.00434404633113908,1
"115","CHIR",8,"hydropeaking:HFE",0.959911175710819,0.95,0.959326481284945,1
"116","CHIR",8,"temperature:temp_spike:hydropeaking",0.98764701797738,0.95,0.98746476237031,1
"117","CHIR",8,"temperature:temp_spike:HFE",0.957468104535461,0.95,0.956847702676063,1
"118","CHIR",8,"temperature:hydropeaking:HFE",0.876648891237847,0.95,0.874861612245127,1
"119","CHIR",8,"temp_spike:hydropeaking:HFE",0.0963160438263858,0.95,0.0907856786180379,1
"120","CHIR",8,"temperature:temp_spike:hydropeaking:HFE",0.121746676627254,0.95,0.115728405980284,1
"121","GAMM",1,"temperature",0.9926075064403,0.95,0.99327503182901,1
"122","GAMM",1,"temp_spike",0.985776546550034,0.95,0.985568769801985,1
"123","GAMM",1,"hydropeaking",0.601062936333859,0.95,0.595738818694235,1
"124","GAMM",1,"HFE",0.998045290729544,0.95,0.998222675740294,1
"125","GAMM",1,"temperature:temp_spike",0.77761013492024,0.95,0.774444722138194,1
"126","GAMM",1,"temperature:hydropeaking",0.470683439529491,0.95,0.464138908178383,1
"127","GAMM",1,"temperature:HFE",0.977403147290353,0.95,0.977073331445984,1
"128","GAMM",1,"temp_spike:hydropeaking",0.109405646485441,0.95,0.103608349671178,1
"129","GAMM",1,"temp_spike:HFE",0.921430806786811,0.95,0.920287681560131,1
"130","GAMM",1,"hydropeaking:HFE",0.608198604446505,0.95,0.602951710060647,1
"131","GAMM",1,"temperature:temp_spike:hydropeaking",0.686229430390875,0.95,0.68188125040604,1
