SampleID,HCOC,HYCA,HYCO,HYOC,HYOS,HYQU,CaptureDay,Seg,Latitude,Longitude,MeanTemp,RangeTemp,MeanQ,StageChange
L04939,0,0,0,0,0,0,204,C4,36.0918,-113.3232,13.23,7.34,363.76,63.57
L04940,0,0,0,0,0,0,205,C4,35.8484,-113.6139,13.78,8.41,363.76,54.86
L04945,0,0,0,0,0,0,222,C4,36.0665,-111.8899,11.47,4.76,348.61,64.01
L04946,0,0,0,0,0,0,223,C4,36.1062,-112.1469,11.74,5.14,348.61,72.47
L04951,0,0,0,0,0,0,246,C4,36.0552,-111.9965,11.58,4.92,348.61,68.61
L04952,0,0,0,0,0,0,247,C4,36.2402,-112.4748,12.17,5.75,348.61,75.92
L04953,0,0,0,0,0,0,248,C4,36.3744,-112.6500,12.52,6.25,348.61,68.14
L04966,0,0,0,0,0,0,229,C4,36.1505,-111.8152,11.32,4.54,348.61,56.09
L04968,0,0,0,0,0,0,232,C4,36.2276,-113.0373,12.93,6.83,363.76,73.09
L04970,0,0,0,0,0,0,308,C4,36.1447,-113.2007,13.09,7.10,363.76,67.13
L04971,0,0,0,0,0,0,298,C4,36.1010,-112.0840,11.67,5.05,348.61,71.95
L04972,0,0,0,0,0,0,297,C4,36.0665,-111.8894,11.47,4.76,348.61,63.99
L04973,0,0,0,0,0,0,299,C4,36.1346,-112.2442,11.84,5.29,348.61,74.07
L04982,0,0,0,0,0,0,207,C4,36.3475,-112.4552,12.33,5.97,348.61,69.29
L04984,0,0,0,0,0,0,205,C4,36.1998,-112.4365,12.09,5.64,348.61,77.47
L04986,0,0,0,0,0,0,211,C4,35.7759,-113.3583,13.56,7.96,363.76,54.97
L04989,0,0,0,0,0,0,208,C4,36.3541,-112.7025,12.59,6.35,348.61,70.68
L04993,0,0,0,0,0,0,232,C4,36.0709,-112.0230,11.61,4.96,348.61,69.80
L04994,0,0,0,0,0,0,233,C4,36.1084,-112.2253,11.81,5.24,348.61,73.17
L04995,0,0,0,0,0,0,234,C4,36.2284,-112.4571,12.14,5.71,348.61,76.61
L04996,0,0,0,0,0,0,235,C4,36.3476,-112.4552,12.34,5.99,348.61,69.28
L04997,0,0,0,0,0,0,236,C4,36.3877,-112.6420,12.51,6.23,348.61,67.67
L04999,0,0,0,0,0,0,238,C4,36.1716,-113.1238,13.03,6.99,363.76,69.88
L05000,0,0,0,0,2,0,239,C4,35.9158,-113.3350,13.41,7.65,363.76,58.70
L05005,0,0,0,0,0,0,224,C4,36.1076,-111.8264,11.36,4.61,348.61,58.19
L05016,0,0,0,0,0,0,207,C4,36.2321,-112.3395,11.98,5.48,348.61,77.09
L05017,0,0,0,0,0,0,208,C4,36.3649,-112.4623,12.35,6.01,348.61,68.65
L05022,0,0,0,0,0,0,209,C4,36.0838,-112.0413,11.63,4.98,348.61,70.65
L05025,0,0,0,0,0,0,265,C4,36.3887,-112.5121,12.40,6.07,348.61,67.22
L05121,0,0,0,0,9,0,112,C4,35.7759,-113.3583,13.56,7.96,363.76,54.97
L05124,0,0,0,0,0,0,114,C4,35.8203,-113.6399,13.82,8.49,363.76,54.86
L05125,0,0,0,0,8,0,113,C4,35.7713,-113.5197,13.68,8.21,363.76,54.86
L05126,0,0,0,0,0,0,115,C4,36.0763,-113.8931,14.01,8.88,363.76,54.86
L05133,0,0,0,0,0,0,99,C4,36.2375,-112.3448,11.99,5.50,348.61,77.27
L05150,0,0,0,0,2,0,271,C4,35.9695,-113.3177,13.36,7.56,363.76,60.11
L05152,0,0,0,0,0,0,260,C4,36.1407,-111.8162,11.33,4.56,348.61,56.69
L05154,0,0,0,0,0,0,262,C4,36.1081,-112.2249,11.81,5.24,348.61,73.16
L05161,0,0,0,0,0,0,263,C4,36.2370,-112.3433,11.99,5.50,348.61,77.24
L05166,0,0,0,0,1,0,273,C4,35.7515,-113.4243,13.61,8.06,363.76,54.86
L05167,0,0,0,0,0,0,268,C4,36.2568,-112.8952,12.81,6.65,363.76,75.10
L05168,0,0,0,0,0,0,329,C4,36.3132,-112.7604,12.68,6.46,348.61,73.00
L05169,0,0,0,0,0,0,330,C4,36.2795,-112.8740,12.78,6.62,363.76,75.17
L05170,0,0,0,0,0,0,331,C4,36.2796,-112.8739,12.78,6.62,363.76,75.17
L05171,0,0,0,0,0,0,332,C4,36.2794,-112.8744,12.78,6.62,363.76,75.17
L05172,0,0,0,0,0,0,332,C4,36.1427,-113.2015,13.10,7.12,363.76,67.07
L05173,0,0,0,0,0,0,334,C4,36.1424,-113.2017,13.10,7.12,363.76,67.06
L05174,0,0,0,0,0,0,335,C4,35.8333,-113.3270,13.50,7.83,363.76,56.50
L05175,0,0,0,0,0,0,326,C4,36.2395,-112.4716,12.17,5.75,348.61,76.04
L05176,0,0,0,0,0,0,327,C4,36.3469,-112.4551,12.33,5.97,348.61,69.31
L05177,0,0,0,0,0,0,328,C4,36.3888,-112.5125,12.40,6.07,348.61,67.21
L05183,0,0,0,0,2,0,262,C4,36.0873,-111.8626,11.43,4.70,348.61,61.68
L05185,0,0,0,0,0,0,323,C4,36.1345,-112.2437,11.84,5.29,348.61,74.06
L05186,0,0,0,0,0,0,324,C4,36.2368,-112.3428,11.99,5.50,348.61,77.23
L05187,0,0,0,0,0,0,325,C4,36.2369,-112.3429,11.99,5.50,348.61,77.23
L05188,0,0,0,0,0,0,269,C4,36.2283,-112.4571,12.14,5.71,348.61,76.61
L05189,0,0,0,0,0,0,271,C4,36.3888,-112.5127,12.25,5.87,348.61,71.46
L05191,0,0,0,0,0,0,268,C4,36.1168,-112.2302,11.81,5.24,348.61,73.42
