"StageGroup","Abundance","Biomass","Parameter","SensitivityIncrement","TemperatureFactor","Increment"
"S2_HYOS",13.6395803513941,199.163942422187,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_HYOS",0.765998854921695,10.5914953471117,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_BAET",54.5279239566485,1.21996305610836,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_BAET",9.4110470953513,1.48895228048224,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_BAET",2.27482318678722,0.293123139047052,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_NZMS",18747.3094286616,1673.38935072056,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_NZMS",7493.9878457004,3375.92283085119,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_NZMS",4282.06734209189,3784.98358559244,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_CHIR",51.6636851493999,8.50394701475131,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_CHIR",9.72546045945698,9.20134083534999,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_CHIR",4.47516481776309,3.91398511323583,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_GAMM",36.5552039236288,106.403530960547,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_GAMM",18.2982595383973,192.022314777667,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_GAMM",5.35401927592862,109.684726229992,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_HYOS",49.1807385597982,397.876940944186,"TempSurvival_BAET",-0.009,1,-0.009
"S2_HYOS",13.6072429963122,198.668058046883,"TempSurvival_BAET",-0.009,1,-0.009
"S3_HYOS",0.771679044358392,10.673836178476,"TempSurvival_BAET",-0.009,1,-0.009
"S1_BAET",54.3611163637691,1.21373839455974,"TempSurvival_BAET",-0.009,1,-0.009
"S2_BAET",9.39904680168116,1.48570328611482,"TempSurvival_BAET",-0.009,1,-0.009
"S3_BAET",2.28657528353164,0.294548055288881,"TempSurvival_BAET",-0.009,1,-0.009
"S1_NZMS",18751.6696165668,1673.77854214215,"TempSurvival_BAET",-0.009,1,-0.009
"S2_NZMS",7495.12898259096,3376.43689494648,"TempSurvival_BAET",-0.009,1,-0.009
"S3_NZMS",4282.83329401931,3785.6606219959,"TempSurvival_BAET",-0.009,1,-0.009
"S1_CHIR",51.6679116156663,8.50558420740315,"TempSurvival_BAET",-0.009,1,-0.009
"S2_CHIR",9.7249447604561,9.20009384180279,"TempSurvival_BAET",-0.009,1,-0.009
"S3_CHIR",4.47409106136806,3.91118843942273,"TempSurvival_BAET",-0.009,1,-0.009
"S1_GAMM",36.5565927710377,106.407573566043,"TempSurvival_BAET",-0.009,1,-0.009
"S2_GAMM",18.3022665491581,192.064364431626,"TempSurvival_BAET",-0.009,1,-0.009
"S3_GAMM",5.35476412886009,109.699985605362,"TempSurvival_BAET",-0.009,1,-0.009
"S1_HYOS",49.2599076312236,398.742658559915,"TempSurvival_CHIR",-0.009,1,-0.009
"S2_HYOS",13.645935397403,199.261633394988,"TempSurvival_CHIR",-0.009,1,-0.009
"S3_HYOS",0.764824720338775,10.574681651802,"TempSurvival_CHIR",-0.009,1,-0.009
"S1_BAET",54.5608563366467,1.22119463658366,"TempSurvival_CHIR",-0.009,1,-0.009
"S2_BAET",9.41342194675976,1.48959523535585,"TempSurvival_CHIR",-0.009,1,-0.009
"S3_BAET",2.27250381399329,0.292841600967429,"TempSurvival_CHIR",-0.009,1,-0.009
"S1_NZMS",18746.430887663,1673.31093193962,"TempSurvival_CHIR",-0.009,1,-0.009
"S2_NZMS",7493.75773730862,3375.81917066527,"TempSurvival_CHIR",-0.009,1,-0.009
"S3_NZMS",4281.9179000352,3784.85149151582,"TempSurvival_CHIR",-0.009,1,-0.009
"S1_CHIR",51.6628967763055,8.50363586433264,"TempSurvival_CHIR",-0.009,1,-0.009
"S2_CHIR",9.72556188826732,9.20158820739237,"TempSurvival_CHIR",-0.009,1,-0.009
"S3_CHIR",4.47538255770485,3.91454544498373,"TempSurvival_CHIR",-0.009,1,-0.009
"S1_GAMM",36.5551332478829,106.403325240209,"TempSurvival_CHIR",-0.009,1,-0.009
"S2_GAMM",18.2974300945401,192.013610576642,"TempSurvival_CHIR",-0.009,1,-0.009
"S3_GAMM",5.35385313005058,109.681322494553,"TempSurvival_CHIR",-0.009,1,-0.009
"S1_HYOS",49.220281219066,398.309459322304,"TempSurvival_NZMS",-0.009,1,-0.009
"S2_HYOS",13.6265531019958,198.964309400592,"TempSurvival_NZMS",-0.009,1,-0.009
"S3_HYOS",0.768310305050327,10.624882088683,"TempSurvival_NZMS",-0.009,1,-0.009
"S1_BAET",54.4605640521357,1.21745469357228,"TempSurvival_NZMS",-0.009,1,-0.009
"S2_BAET",9.40620188180202,1.48764162729581,"TempSurvival_NZMS",-0.009,1,-0.009
"S3_BAET",2.27955381138938,0.293696348470648,"TempSurvival_NZMS",-0.009,1,-0.009
"S1_NZMS",18749.0590110074,1673.54551886173,"TempSurvival_NZMS",-0.009,1,-0.009
"S2_NZMS",7494.44504808585,3376.12879328443,"TempSurvival_NZMS",-0.009,1,-0.009
"S3_NZMS",4282.37507226151,3785.25559290754,"TempSurvival_NZMS",-0.009,1,-0.009
"S1_CHIR",51.6654272122864,8.50461640720866,"TempSurvival_NZMS",-0.009,1,-0.009
"S2_CHIR",9.7252524688668,9.20084001126404,"TempSurvival_NZMS",-0.009,1,-0.009
"S3_CHIR",4.47473830386784,3.91286744069585,"TempSurvival_NZMS",-0.009,1,-0.009
"S1_GAMM",36.5558809932576,106.405501749695,"TempSurvival_NZMS",-0.009,1,-0.009
"S2_GAMM",18.2998513196424,192.039018963039,"TempSurvival_NZMS",-0.009,1,-0.009
"S3_GAMM",5.35431293821468,109.690742321042,"TempSurvival_NZMS",-0.009,1,-0.009
"S1_HYOS",49.3359668963657,399.573941897015,"TempSurvival_GAMM",-0.009,1,-0.009
"S2_HYOS",13.6828571532215,199.828973581417,"TempSurvival_GAMM",-0.009,1,-0.009
"S3_HYOS",0.758322034796359,10.4803058165856,"TempSurvival_GAMM",-0.009,1,-0.009
"S1_BAET",54.7524151373438,1.22834711783047,"TempSurvival_GAMM",-0.009,1,-0.009
"S2_BAET",9.42722858803952,1.49332656490037,"TempSurvival_GAMM",-0.009,1,-0.009
"S3_BAET",2.2590357293754,0.291208611780486,"TempSurvival_GAMM",-0.009,1,-0.009
"S1_NZMS",18741.4271253483,1672.86429491137,"TempSurvival_GAMM",-0.009,1,-0.009
"S2_NZMS",7492.43980620427,3375.22546357683,"TempSurvival_GAMM",-0.009,1,-0.009
"S3_NZMS",4281.04267994279,3784.07787134152,"TempSurvival_GAMM",-0.009,1,-0.009
"S1_CHIR",51.6580693610941,8.5017631497725,"TempSurvival_GAMM",-0.009,1,-0.009
"S2_CHIR",9.72615494211835,9.20302224997166,"TempSurvival_GAMM",-0.009,1,-0.009
"S3_CHIR",4.47661737755916,3.91776161986879,"TempSurvival_GAMM",-0.009,1,-0.009
"S1_GAMM",36.5538222883416,106.399509347828,"TempSurvival_GAMM",-0.009,1,-0.009
"S2_GAMM",18.292803912747,191.96506332904,"TempSurvival_GAMM",-0.009,1,-0.009
"S3_GAMM",5.35294904212851,109.662800963138,"TempSurvival_GAMM",-0.009,1,-0.009
"S1_HYOS",49.250154025951,398.635739856569,"TempSurvival_HYOS",-0.008,1,-0.008
"S2_HYOS",13.6410405743826,199.187041633051,"TempSurvival_HYOS",-0.008,1,-0.008
"S3_HYOS",0.765676328827198,10.5869789326381,"TempSurvival_HYOS",-0.008,1,-0.008
"S1_BAET",54.5357726212309,1.22025574973533,"TempSurvival_HYOS",-0.008,1,-0.008
"S2_BAET",9.41162569168945,1.48910506620715,"TempSurvival_HYOS",-0.008,1,-0.008
