"StageGroup","Abundance","Parameter","SensitivityIncrement"
"S3_GAMM",5.35767645227,"G2_CHIR",-0.009
"S1_HYOS",57.1977057364645,"G1_HYOS",-0.008
"S2_HYOS",8.47250593866121,"G1_HYOS",-0.008
"S3_HYOS",0.98090492614126,"G1_HYOS",-0.008
"S1_BAET",62.2055423160497,"G1_HYOS",-0.008
"S2_BAET",9.98062871546068,"G1_HYOS",-0.008
"S3_BAET",1.93860188791935,"G1_HYOS",-0.008
"S1_NZMS",18770.8182650644,"G1_HYOS",-0.008
"S2_NZMS",7512.43163407368,"G1_HYOS",-0.008
"S3_NZMS",4305.87216988619,"G1_HYOS",-0.008
"S1_CHIR",49.4786789337165,"G1_HYOS",-0.008
"S2_CHIR",9.87679081970978,"G1_HYOS",-0.008
"S3_CHIR",4.25265838750445,"G1_HYOS",-0.008
"S1_GAMM",34.9521506312339,"G1_HYOS",-0.008
"S2_GAMM",18.0268046560287,"G1_HYOS",-0.008
"S3_GAMM",5.35419047186324,"G1_HYOS",-0.008
"S1_HYOS",48.9814385802858,"G1_BAET",-0.008
"S2_HYOS",13.5041534153881,"G1_BAET",-0.008
"S3_HYOS",0.792073584855351,"G1_BAET",-0.008
"S1_BAET",68.9746260323547,"G1_BAET",-0.008
"S2_BAET",8.36958649308747,"G1_BAET",-0.008
"S3_BAET",1.96141321741916,"G1_BAET",-0.008
"S1_NZMS",18773.0865279683,"G1_BAET",-0.008
"S2_NZMS",7501.48574907905,"G1_BAET",-0.008
"S3_NZMS",4290.10436390849,"G1_BAET",-0.008
"S1_CHIR",51.6711120885019,"G1_BAET",-0.008
"S2_CHIR",9.72511056076106,"G1_BAET",-0.008
"S3_CHIR",4.47224729615642,"G1_BAET",-0.008
"S1_GAMM",36.548368025224,"G1_BAET",-0.008
"S2_GAMM",18.3093313213508,"G1_BAET",-0.008
"S3_GAMM",5.35772560003437,"G1_BAET",-0.008
"S1_HYOS",47.3877727021423,"G1_NZMS",-0.008
"S2_HYOS",12.675711037611,"G1_NZMS",-0.008
"S3_HYOS",0.850735351576927,"G1_NZMS",-0.008
"S1_BAET",74.3760315571604,"G1_NZMS",-0.008
"S2_BAET",11.4114475312781,"G1_NZMS",-0.008
"S3_BAET",2.09200651926748,"G1_NZMS",-0.008
"S1_NZMS",22716.8173905329,"G1_NZMS",-0.008
"S2_NZMS",7090.61599620581,"G1_NZMS",-0.008
"S3_NZMS",4073.5326324865,"G1_NZMS",-0.008
"S1_CHIR",51.2615637250841,"G1_NZMS",-0.008
"S2_CHIR",9.8110082004319,"G1_NZMS",-0.008
"S3_CHIR",4.27547036641454,"G1_NZMS",-0.008
"S1_GAMM",36.157342415911,"G1_NZMS",-0.008
